actual,proposed
0.15776026248931885,0.0
0.1601690798997879,0.11899548023939133
0.15519747138023376,0.11961212009191513
0.1531791090965271,0.12019108980894089
0.1467219442129135,0.12065087258815765
0.13588865101337433,0.12104535847902298
0.12945690751075745,0.12133905291557312
0.11864502727985382,0.12152405083179474
0.10351292043924332,0.12150382250547409
0.0841178223490715,0.12137176841497421
0.06923216581344604,0.12109242379665375
0.05006934329867363,0.12066186964511871
0.026684356853365898,0.12003092467784882
0.003488851711153984,0.11921373009681702
0.0,0.11823274195194244
0.0,0.11710797250270844
0.0,0.11570069938898087
0.0,0.11407595872879028
0.0,0.11228817701339722
0.0,0.11031053215265274
0.0,0.1081295758485794
0.0,0.10580217838287354
0.0,0.10334806889295578
0.0,0.10073283314704895
0.0,0.09794779121875763
0.0,0.09508424252271652
0.0,0.0921001061797142
0.0,0.08899334073066711
0.0,0.08582369983196259
0.0,0.0825284868478775
0.0,0.07915767282247543
0.0,0.07575255632400513
0.0,0.0722803920507431
0.0,0.06876350939273834
0.0,0.06522820144891739
0.0,0.06168697774410248
0.0,0.05810770392417908
0.0,0.05453132465481758
0.0,0.05094529688358307
0.0,0.047349169850349426
0.0,0.04378089681267738
0.0,0.040294669568538666
0.0,0.03692202642560005
0.0,0.033694371581077576
0.0,0.030572058632969856
0.0,0.027550913393497467
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09476890414953232
0.0,0.09392379969358444
0.00997406430542469,0.09322872757911682
0.022319070994853973,0.09262928366661072
0.043141577392816544,0.09218811243772507
0.05925390496850014,0.09188193827867508
0.075090691447258,0.0916956439614296
0.09938178211450577,0.09167291224002838
0.11894083023071289,0.0918150320649147
0.1294858455657959,0.09201253205537796
0.15294551849365234,0.0923943817615509
0.1629919409751892,0.09283991903066635
0.17725719511508942,0.09337201714515686
0.19132819771766663,0.0939965769648552
0.20085477828979492,0.09471367299556732
0.20590564608573914,0.09540804475545883
0.2109055519104004,0.09614865481853485
0.22021591663360596,0.09692934900522232
0.2207016497850418,0.09770738333463669
0.22556547820568085,0.09850118309259415
0.2260282337665558,0.09929503500461578
0.22215233743190765,0.10003241151571274
0.21835651993751526,0.1007358580827713
0.20591920614242554,0.10133595764636993
0.20239366590976715,0.10189423710107803
0.1858556866645813,0.1023244708776474
0.17391927540302277,0.10265578329563141
0.1577950268983841,0.10286013036966324
0.13753558695316315,0.10290519893169403
0.11754992604255676,0.10282552242279053
0.09782540798187256,0.10257084667682648
0.07399089634418488,0.10218001902103424
0.04609508067369461,0.10155006498098373
0.018543172627687454,0.10073383897542953
3.7017241993453354e-05,0.09979190677404404
0.0,0.09851672500371933
0.0,0.09700655192136765
0.0,0.09523448348045349
0.0,0.09324038028717041
0.0,0.09116040915250778
0.0,0.08873723447322845
0.0,0.08614679425954819
0.0,0.0833541676402092
0.0,0.08037067204713821
0.0,0.07733111828565598
0.0,0.07397691160440445
0.0,0.07044672966003418
0.0,0.06678583472967148
0.0,0.06297490000724792
0.0,0.05906854569911957
0.0,0.05506543442606926
0.0,0.05096697807312012
0.0,0.04690517857670784
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09511929005384445
0.0,0.09294889867305756
0.0,0.09092134237289429
0.0,0.08903525769710541
0.0,0.08729147911071777
0.0,0.0856703445315361
0.0,0.08420401066541672
0.0,0.08289357274770737
0.0,0.08172924816608429
0.0,0.08071261644363403
0.0,0.07982771843671799
0.0,0.0790422260761261
0.0,0.07832352072000504
0.0,0.07769632339477539
0.0,0.07716687768697739
0.0,0.07672153413295746
0.004526791628450155,0.0763593316078186
0.014730039983987808,0.07608181238174438
0.024763567373156548,0.07588361948728561
0.030275912955403328,0.07573605328798294
0.031334370374679565,0.07559215277433395
0.036721475422382355,0.07549120485782623
0.037659935653209686,0.07540198415517807
0.03857304900884628,0.07531973719596863
0.04817967116832733,0.07531649619340897
0.05328323692083359,0.07534408569335938
0.06266822665929794,0.07544370740652084
0.05884190648794174,0.07551337033510208
0.050709523260593414,0.07552193850278854
0.03832881897687912,0.07544532418251038
0.030473140999674797,0.07530409097671509
0.027074240148067474,0.0751417800784111
0.019349420443177223,0.07492774724960327
0.01607506535947323,0.07469204068183899
0.012827565893530846,0.07444097101688385
0.013964492827653885,0.07420555502176285
0.006347143556922674,0.07390892505645752
0.0031744157895445824,0.0735974982380867
2.2924399672774598e-05,0.07326995581388474
0.0,0.07292874157428741
0.0,0.07253534346818924
0.0,0.07212579995393753
0.0,0.0716758593916893
0.0,0.07120497524738312
0.24316257238388062,0.07072362303733826
0.24158048629760742,0.17200516164302826
0.240006223320961,0.17217224836349487
0.238438680768013,0.17233233153820038
0.2412363886833191,0.1725035160779953
0.23962022364139557,0.17266994714736938
0.23801171779632568,0.17281906306743622
0.23641033470630646,0.17295895516872406
0.23481501638889313,0.1730860471725464
0.2332252711057663,0.1732012778520584
0.23164063692092896,0.1733056604862213
0.22570110857486725,0.1733909398317337
0.21546685695648193,0.17335782945156097
0.2053537666797638,0.17326617240905762
0.19535592198371887,0.17311440408229828
0.18110856413841248,0.1728588193655014
0.16702581942081451,0.17250214517116547
0.15309925377368927,0.17205625772476196
0.13932135701179504,0.17151592671871185
0.12132584303617477,0.17085373401641846
0.10352461785078049,0.17007510364055634
0.08154941350221634,0.16915135085582733
0.06416923552751541,0.16812710464000702
0.03823497146368027,0.1669098287820816
0.012577012181282043,0.16553924977779388
0.0,0.1639731377363205
0.0,0.1622529774904251
0.0,0.1603488028049469
0.0,0.15826572477817535
0.0,0.1559777557849884
0.0,0.15349140763282776
0.0,0.15084388852119446
0.0,0.14807182550430298
0.0,0.14511464536190033
0.0,0.14197693765163422
